tstamp	team.number	match.number	scouter.name	event.name	notes.speaker.auto	notes.amp.auto	speaker.subwoofer.completed.auto	speaker.subwoofer.attempted.auto	speaker.podium.completed.auto	speaker.podium.attempted.auto	speaker.medium.completed.auto	speaker.medium.attempted.auto	speaker.midfield.completed.auto	speaker.midfield.attempted.auto	robot.disabled.time	robot.speed	notes.speaker.teleop	notes.amp.teleop	speaker.subwoofer.completed.teleop	speaker.subwoofer.attempted.teleop	speaker.podium.completed.teleop	speaker.podium.attempted.teleop	speaker.medium.completed.teleop	speaker.medium.attempted.teleop	speaker.midfield.completed.teleop	speaker.midfield.attempted.teleop	robot.pickup	climb	team.present	mobility	alliance.coop	park	high.note	trap	rps	fouls	defense.rating	defense.forced.penalties	strategy	notes
2024-03-16T14:57:28.882831	281	Q46	ben	Anderson	0	0	1	0	0	0	0	0	0	0	0	7	2	4	0	0	2	1	0	0	0	0	Ground	Failed	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	2	0	0	0	No	struggled against defense
2024-03-16T15:20:18.711807	1746	Q21	Ana	Gwinnett	0	0	3	0	0	0	0	0	0	0	0	3	2	2	2	1	0	0	0	0	0	0	Ground	NoTry	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	2	0	0	0	They carried their alliance	good thingy
3/8/2024 11:02:21	9561	Q1	Marwan Makhtoub	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:05:33	4451	Q1	Victor	Anderson	1	0	1	0	0	0	0	0	0	0	0	4	6	0	1	0	1	0	0	0	0	0	Both	NoTry	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	2	0	0	0	No	
3/8/2024 11:05:36	1648	Q1	Aditya Harikumar	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	they played a lot of defense; didn’t attempt any scoring
3/8/2024 11:05:40	8736	Q1	Sophie	Anderson	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	0	0	0	0	0	0	0	Ground	NoTry	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	2	0	0	0	No	
3/8/2024 11:05:43	1319	Q1	Antony	Anderson	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	1	0	0	0	0	0	0	Ground	Success	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	2	0	0	0	Yes	misses.2; pbc pipe became disconnected and began to hang off the robot; played defense for half the match
3/8/2024 11:05:50	3091	Q1	Sanjith	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	Source	Failed	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0	0	No	Didn't move for much of match
3/8/2024 11:15:50	2974	Q2	Antony	Anderson	1	0	1	0	0	0	0	0	0	0	8	3	5	2	1	0	0	0	0	0	0	0	Ground	NoTry	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:15:58	342	Q2	Marwan Makhtoub	Anderson	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	Ground	Success	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0	1	0	0	Yes	Eject didn’t work note got stuck
3/8/2024 11:15:58	9571	Q2	Victor	Anderson	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	Source	NoTry	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	0	No	did basically nothing
3/8/2024 11:15:59	2815	Q2	Sophie	Anderson	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:16:03	1539	Q2	Sanjith	Anderson	1	0	1	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	Ground	NoTry	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	0	0	0	No	Just played defense
3/8/2024 11:16:07	5130	Q2	Aditya Harikumar	Anderson	1	0	0	0	1	0	0	0	0	0	0	15	1	0	0	0	1	0	0	0	0	0	None	Failed	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	2	0	0	0	No	the shots they made were all preloaded; after they scored they just played defense
3/8/2024 11:27:51	8137	Q3	Victor	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0	0	No	No-show
3/8/2024 11:28:32	3329	Q3	Sophie	Anderson	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	Ground	Success	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:28:50	343	Q3	Antony	Anderson	1	0	1	0	0	0	0	1	0	0	3	5	1	4	1	0	0	0	0	1	0	0	Both	Failed	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	0	0	0	No	misses.4; really good amp, speaker still unreliable
3/8/2024 11:28:55	9477	Q3	Sanjith	Anderson	0	0	0	1	0	0	0	0	0	0	0	15	2	0	0	1	0	1	0	0	0	0	Ground	NoTry	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	0	0	0	No	Missed alot
3/8/2024 11:29:12	6961	Q3	Aditya Harikumar	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	2	0	0	0	No	they moved but they just stood in the middle of the field
3/8/2024 11:31:55	7676	Q3	Marwan Makhtoub	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:36:09	9315	Q4	Marwan Makhtoub	Anderson	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:38:11	281	Q4	Antony	Anderson	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	Note got stuck on top of shooter, then under robot;
3/8/2024 11:38:40	1293	Q4	Sophie	Anderson	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	Ground	NoTry	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:38:43	6167	Q4	Victor	Anderson	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	1	0	0	0	0	0	0	Both	NoTry	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0	0	0	0	No	
3/8/2024 11:39:18	1051	Q4	Sanjith	Anderson	0	0	0	1	0	0	0	0	0	0	0	15	1	0	1	0	0	0	0	0	0	0	Ground	Success	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	0	0	0	No	
3/8/2024 11:40:50	4533	Q4	Aditya	Anderson	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	None	NoTry	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2	0	0	0	No	didn’t get a shot off or points score
